base,Hansen Net Loss,Copernicus Loss,SSP Projections,Alt. Cost,z=0.1,z=0.3,z from Storch et al.,z from Kier et al.,100 year horizon,200 year horizon
1,"","","","","","","","","",""
1,1,"","","","","","","","",""
1,1,1,"","","","","","","",""
0.996,0.997,0.996,1,"","","","","","",""
0.953,0.954,0.955,0.947,1,"","","","","",""
0.937,0.937,0.936,0.935,0.911,1,"","","","",""
0.983,0.984,0.984,0.979,0.933,0.863,1,"","","",""
0.987,0.987,0.987,0.98,0.945,0.918,0.971,1,"","",""
0.972,0.973,0.973,0.971,0.933,0.878,0.98,0.941,1,"",""
0.986,0.985,0.986,0.978,0.938,0.896,0.983,0.975,0.967,1,""
0.949,0.948,0.949,0.938,0.899,0.829,0.961,0.941,0.941,0.976,1
