base,Hansen Net Loss,Copernicus Loss,SSP Projections,Alt. Cost,z=0.1,z=0.3,z from Storch et al.,z from Kier et al.,100 year horizon,200 year horizon
1,"","","","","","","","","",""
0.998,1,"","","","","","","","",""
0.998,0.998,1,"","","","","","","",""
0.997,0.997,0.996,1,"","","","","","",""
0.918,0.914,0.917,0.913,1,"","","","","",""
0.947,0.949,0.949,0.948,0.903,1,"","","","",""
0.992,0.99,0.989,0.989,0.899,0.909,1,"","","",""
0.977,0.985,0.985,0.973,0.89,0.937,0.966,1,"","",""
0.945,0.94,0.944,0.943,0.93,0.876,0.949,0.902,1,"",""
0.998,0.997,0.997,0.995,0.92,0.951,0.99,0.98,0.943,1,""
0.99,0.99,0.991,0.988,0.924,0.951,0.982,0.975,0.938,0.997,1
