Ecoregion,# species,Initial cost ($/ha),SAR alpha,Initial forest (kha),Initial prot. forest (kha),Deforest. rate (%),Conservation end period,Overall end period,Total spend (M$),Expected new spp. conserved
Louisiade Archipelago Rain Forests,3200,353.407984738525,48.9747316377844,119.0939136,0,0.189664478370119,1,50,52.230758927234,3195.76318677155
Southern Anatolian Montane Conifer And Deciduous Forests,4000,2513.07082505144,43.0115747731287,695.621888,0.700623,0.478353040469988,50,50,1195.27614487742,2942.6214511096
Solomon Islands Rain Forests,4800,258.054407368364,38.7297177987544,2924.0481792,29.3650016,0.359778261075006,6,50,953.362676730428,2895.72456672761
Huon Peninsula Montane Rain Forests,5500,232.927618651755,51.7919206951248,1350.5272832,47.9811616,0.172816744272743,5,50,375.23011830803,2686.94424810917
Southeastern Papuan Rain Forests,5500,166.380848044779,37.9664515356847,6379.8931456,228.0392192,0.158774667228093,50,50,991.745660758522,2656.43642108313
Eastern Anatolian Deciduous Forests,2800,3945.47959841691,46.0928548415802,82.722208,0,0.0640570582932216,50,50,113.928716307246,2529.51033063926
Hainan Island Monsoon Rain Forests,3000,6302.69069681912,31.9316048072352,731.9856128,0,0.950765462913754,50,50,528.847629730897,2116.34780034482
Caqueta Moist Forests,9000,73.1424570358948,51.2836991742023,16646.2275584,5916.0662016,0.389613824152852,5,50,1007.3798248614,1727.42293479429
Central China Loess Plateau Mixed Forests,3100,3493.81766686583,24.2241631870835,3432.1364992,0,0.0872630911007795,50,50,289.452778745053,1649.80248645385
Chiapas Montane Forests,3800,4741.45843871153,45.7665834004377,394.6167552,22.5023392,0.932745696151691,46,50,1066.25250115125,1632.56116941157
Northeastern Himalayan Subalpine Conifer Forests,2500,220.100054551766,24.3550896898312,1139.5972096,5.9486032,0.0859481584063455,15,50,296.313692554481,1626.04288940905
New Britain-New Ireland Montane Rain Forests,2500,23.146747958535,24.4330093124851,1121.5412224,6.0618356,0.0902300492425379,6,50,31.4667351456509,1620.66208608638
Solimoes-Japur Moist Forests,7000,51.256819390891,39.9960455133811,16421.2015104,4585.9528704,0.0268858939663138,9,50,730.825828589498,1578.57802114788
Bajo Dry Forests,4200,6291.02556663738,59.6421323299178,173.173184,17.470872,0.0385634286535193,50,50,1121.86426103678,1544.22160998398
Guianan Moist Forests,8000,65.4327388816789,37.4015842221772,44771.3247232,15599.2768512,0.0917941836565488,50,50,2078.4402633059,1520.35821990014
Sierra Madre Del Sur Pine-Oak Forests,4200,1018.44953753991,34.745929272473,2580.6362624,50.7098528,0.127912005176137,50,50,497.677361700214,1493.43532645699
Negro-Branco Moist Forests,6500,76.1704805848658,36.1567913853377,18776.6177792,5837.8297344,0.107613776126396,12,50,1197.16602388255,1362.45169392874
Choc-Darin Moist Forests,9000,828.346739459488,61.6060825197988,6654.1805568,872.8093696,0.165999540407437,50,50,711.634391748145,1331.32318871251
Magdalena-Urab Moist Forests,4500,3109.13993117894,37.6346873267312,2444.1114624,216.1275648,1.15734409156979,50,50,2243.88434441132,1257.93242171923
Madagascar Lowland Forests,6000,750.475248872749,42.9327312276679,5331.0611456,1535.3249792,2.44934520009531,21,50,1824.81906647776,1234.49236308238
Chin Hills-Arakan Yoma Montane Forests,2600,429.295260772132,22.909559903318,1882.7081728,83.241952,0.463254797652937,18,50,849.436703632742,1212.67540964318
Sierra Madre Occidental Pine-Oak Forests,4400,449.987899945624,31.6303893694421,5208.836096,739.8153728,0.0436242103304463,50,50,864.125621575696,1206.37177037239
Yunnan Plateau Subtropical Evergreen Forests,6000,3896.58094120335,42.7838503493458,5424.4651008,32.0551904,0.293992813295309,50,50,530.251719507401,1146.508874586
Admiralty Islands Lowland Rain Forests,2000,281.0294563188,28.1934780994784,179.6415104,2.8093818,0.216916633327231,1,50,61.9624453850573,1132.86857875109
Western Ecuador Moist Forests,5300,3237.54684358947,46.0757876927927,2013.7961472,122.8405376,0.626287869470672,50,50,783.615568278477,1044.06983012511
Anatolian Conifer And Deciduous Mixed Forests,2400,5959.54415959028,22.8975002126065,1265.0737664,2.9229124,0.404862571205771,50,50,880.459508816731,1026.3675365835
Chilean Matorral,2600,5610.32864647052,26.5273539988332,904.4760576,26.3337824,2.58169991814101,28,50,1507.68191145781,954.892994961336
Central Congolian Lowland Forests,3600,47.5320298201804,17.3954388876101,37960.8170496,8334.7177472,0.368074418731076,39,50,1343.24468117009,945.981906070713
Sonoran-Sinaloan Transition Subtropical Dry Forest,1700,312.914150566572,22.9799930160895,221.5619328,4.4564324,0.0629016951428652,15,50,81.1465676104222,922.068721490165
Juru-Purus Moist Forests,5000,29.6532202529988,26.5248279201047,23800.5583872,8730.9524992,0.0315868618952432,24,50,524.865759017029,909.960427056181
Andaman Islands Rain Forests,1827,3277.02976951517,21.6406383054333,428.886528,12.231876,0.0891088934727651,50,50,829.500186730504,900.661535085951
