Ecoregion,# species,Initial cost ($/ha),SAR alpha,Initial forest (kha),Initial prot. forest (kha),Deforest. rate (%),Conservation end period,Overall end period,Total spend (M$),Expected new spp. conserved
Louisiade Archipelago Rain Forests,3200,353.41,48.97,119.1,0,0.19,1,50,52.2,3196
Solomon Islands Rain Forests,4800,258.05,38.73,2924,29.4,0.36,6,50,953.4,2896
Huon Peninsula Montane Rain Forests,5500,232.93,51.79,1350.5,48,0.17,5,50,375.2,2687
Southern Anatolian Montane Conifer And Deciduous Forests,4000,2513.07,43.01,695.6,0.7,0.48,50,50,1195.3,2943
Southeastern Papuan Rain Forests,5500,166.38,37.97,6379.9,228,0.16,50,50,991.7,2656
Eastern Anatolian Deciduous Forests,2800,3945.48,46.09,82.7,0,0.06,50,50,113.9,2530
Hainan Island Monsoon Rain Forests,3000,6302.69,31.93,732,0,0.95,50,50,528.8,2116
Caqueta Moist Forests,9000,73.14,51.28,16646.2,5916.1,0.39,5,50,1007.4,1727
Northeastern Himalayan Subalpine Conifer Forests,2500,220.1,24.36,1139.6,5.9,0.09,15,50,296.3,1626
New Britain-New Ireland Montane Rain Forests,2500,23.15,24.43,1121.5,6.1,0.09,6,50,31.5,1621
Solimoes-Japur Moist Forests,7000,51.26,40,16421.2,4586,0.03,9,50,730.8,1579
Bajo Dry Forests,4200,6291.03,59.64,173.2,17.5,0.04,50,50,1121.9,1544
Central China Loess Plateau Mixed Forests,3100,3493.82,24.22,3432.1,0,0.09,50,50,289.5,1650
Guianan Moist Forests,8000,65.43,37.4,44771.3,15599.3,0.09,50,50,2078.4,1520
Negro-Branco Moist Forests,6500,76.17,36.16,18776.6,5837.8,0.11,12,50,1197.2,1362
Chiapas Montane Forests,3800,4741.46,45.77,394.6,22.5,0.93,46,50,1066.3,1633
Chin Hills-Arakan Yoma Montane Forests,2600,429.3,22.91,1882.7,83.2,0.46,18,50,849.4,1213
Sierra Madre Del Sur Pine-Oak Forests,4200,1018.45,34.75,2580.6,50.7,0.13,50,50,497.7,1493
Admiralty Islands Lowland Rain Forests,2000,281.03,28.19,179.6,2.8,0.22,1,50,62,1133
Magdalena-Urab Moist Forests,4500,3109.14,37.63,2444.1,216.1,1.16,50,50,2243.9,1258
Sonoran-Sinaloan Transition Subtropical Dry Forest,1700,312.91,22.98,221.6,4.5,0.06,15,50,81.1,922
Juru-Purus Moist Forests,5000,29.65,26.52,23800.6,8731,0.03,24,50,524.9,910
Choc-Darin Moist Forests,9000,828.35,61.61,6654.2,872.8,0.17,50,50,711.6,1331
Orissa Semi-Evergreen Forests,1400,3811.15,26.25,43.1,0.3,0.08,8,50,198.3,871
Central Congolian Lowland Forests,3600,47.53,17.4,37960.8,8334.7,0.37,39,50,1343.2,946
Anatolian Conifer And Deciduous Mixed Forests,2400,5959.54,22.9,1265.1,2.9,0.4,50,50,880.5,1026
Sierra Madre Occidental Pine-Oak Forests,4400,449.99,31.63,5208.8,739.8,0.04,50,50,864.1,1206
Yunnan Plateau Subtropical Evergreen Forests,6000,3896.58,42.78,5424.5,32.1,0.29,50,50,530.3,1147
Chimalapas Montane Forests,2500,119.46,36.96,141.6,19.9,0.22,1,14,18.1,820
Madagascar Lowland Forests,6000,750.48,42.93,5331.1,1535.3,2.45,21,50,1824.8,1234
Northern Anatolian Conifer And Deciduous Forests,2200,1214.86,20.38,1464.2,0,0.11,50,50,10.6,867
Chilean Matorral,2600,5610.33,26.53,904.5,26.3,2.58,28,50,1507.7,955
Altai Montane Forest And Forest Steppe,2000,88.09,18.19,1607.8,136.7,0.05,8,50,156.7,779
Andaman Islands Rain Forests,1827,3277.03,21.64,428.9,12.2,0.09,50,50,829.5,901
Western Ecuador Moist Forests,5300,3237.55,46.08,2013.8,122.8,0.63,50,50,783.6,1044
Talamancan Montane Forests,8500,1177.7,79.84,1367.5,870.3,0.23,24,50,633.1,746
Southern Andean Yungas,3500,338.76,26.37,4116.2,1300,0.41,11,50,1196.2,737
Vogelkop Montane Rain Forests,5500,633.18,47.94,1988.6,1023.9,0.17,17,50,709.6,691
Japur-Solimoes-Negro Moist Forests,8000,110.5,41.88,25430.2,15869.8,0.14,50,50,1078.3,719
Pindus Mountains Mixed Forests,4000,1340.81,38.6,1195.3,448.6,0.32,50,50,921.9,713
Oaxacan Montane Forests,3200,8349.74,36.04,551.7,14.1,0.27,50,50,518.3,832
Tarim Basin Deciduous Forests And Steppe,600,2670.21,46.82,0,0,0,50,1,0.1,600
Guianan Highlands Moist Forests,8000,28.08,47.24,13926.4,9445.5,0.11,1,50,154.1,605
Changbai Mountains Mixed Forests,2500,874.2,18.56,4429.5,131.7,0.14,50,50,707.8,783
Coolgardie Woodlands,1800,15.24,19.59,654.7,92.1,1.79,1,21,13.6,626
Bolivian Yungas,6000,152.88,40.28,7331.4,4307.3,0.62,19,50,501.8,632
Jamaican Moist Forests,2800,6215.06,31.68,539.3,97.1,0.37,50,50,1450.6,746
Fiji Tropical Moist Forests,1450,2115.37,14.73,924.4,35.8,0.07,50,50,1032.5,667
Meghalaya Subtropical Forests,3000,3681.59,26.24,1951.9,10.3,0.63,50,50,238.9,672
Helanshan Montane Conifer Forests,700,5761.29,18.13,8.6,0,0.02,50,50,10.2,571
East Afghan Montane Conifer Forests,1300,307.74,33.63,8.6,0.7,0,1,50,2.9,505
Miskito Pine Forests,1800,241.03,19.11,740.9,138.1,0.49,7,50,189.1,525
Lesser Sundas Deciduous Forests,2500,1813.01,21.85,1960.8,153.6,0.27,50,50,918.6,696
Esperance Mallee,2900,160.86,30.19,818.3,315.4,6.17,1,50,204.8,689
Eastern Taiga Shield,1140,10.21,6.24,20328.8,1676.7,0.21,6,50,236.9,451
Central Anatolian Steppe And Woodlands,2000,9940.08,35.15,59.6,0.1,0.12,50,50,20.1,544
Middle Rockies - Blue Mountains,2373,259.3,16.51,6128.8,1170.7,1.43,35,50,685.2,614
East Deccan Dry-Evergreen Forests,1200,38208.02,25.08,25.1,0.2,0.15,50,50,194.3,545
Pernambuco Coastal Forests,3000,7765.48,35.07,458.3,38.9,0.55,50,50,589.9,614
North Western Ghats Montane Rain Forests,2800,3046,28.56,905.9,199.3,0.11,50,50,895.2,595
Purus-Madeira Moist Forests,5000,46.63,28.8,15784.3,10100.1,0.84,22,50,237.7,453
Maputaland Coastal Forest Mosaic,2700,2559.73,29.43,650.1,124.4,0.55,50,50,434.9,529
Hudson Plains,925,8.67,5.52,13175.5,1153.9,0.23,15,50,121.9,358
Montane Fynbos And Renosterveld,6300,2128.76,76.71,373.7,275.1,3.41,5,50,405.5,504
Comoros Forests,1500,3202.11,22.98,118.6,36.4,0.32,13,50,323.9,321
Vanuatu Rain Forests,950,407.31,9.5,998.6,38.8,0.06,50,50,158.2,391
Qilian Mountains Conifer Forests,1500,1812.8,24.02,94.9,0,0.03,50,50,0.4,354
Sierra De Los Tuxtlas,2750,9427.4,40.43,145.5,77.4,0.88,14,50,810.2,347
North Western Ghats Moist Deciduous Forests,2300,5278.78,27.2,432.4,71.5,0.07,50,50,511.9,442
Crete Mediterranean Forests,1600,5652.58,28.28,58,21,0.37,7,50,267.5,302
Northeast China Plain Deciduous Forests,1800,12511.72,21.79,384.4,0.5,0.13,50,50,59.1,374
Myanmar Coastal Rain Forests,2200,1292.4,18.1,2653.7,22.1,0.65,50,50,83.6,354
Western Taiga Shield,797,20.35,5.01,10174.3,952.1,1.27,20,50,184.1,308
Santa Marta Montane Forests,1600,190.52,19.83,342,150.1,0.36,1,50,46.7,250
Guianan Piedmont And Lowland Moist Forests,5000,43.51,27.17,21108.7,16606.9,0.38,11,50,246.6,244
Nicobar Islands Rain Forests,1379,822.95,21.53,107.8,44.7,0.52,7,50,68.1,231
Cordillera Oriental Montane Forests,5500,1040.89,40.53,4600.2,1486.6,0.36,50,50,413.6,352
Naracoorte Woodlands,1500,498.71,20.83,193.8,82.5,5.72,3,50,135,321
